         Time	     Pressure	       Length	       Height	
        1.0225       0.920215        17.8004        17.7976
        1.0478        0.91386        17.9604        17.9527
        1.0734       0.910323        18.1199        18.1058
        1.0996       0.909153        18.2791        18.2564
        1.1284       0.905799        18.4469        18.4138
        1.1576       0.899766        18.6125        18.5682
        1.1861       0.891808        18.7715        18.7156
        1.2137       0.884038        18.9243        18.8568
        1.2408       0.875991        19.0737        18.9952
         1.268       0.867759        19.2245        19.1353
        1.2957       0.859921        19.3796        19.2805
        1.3242       0.852592        19.5411        19.4325
        1.3536       0.845626        19.7088        19.5919
         1.384       0.838654        19.8828        21.0721
        1.4145       0.832415        20.0583          21.19
        1.4448       0.827014        20.2336        21.3123
        1.4749       0.822443         20.407        21.4373
        1.5054       0.819994        20.5792        21.5658
        1.5367        0.81822        20.7517        21.6958
        1.5689       0.815249        20.9239        21.8275
        1.6022       0.811145        21.0964        21.9614
        1.6366       0.805915        21.2689        22.0978
         1.672       0.799515        21.4416        22.2376
        1.7076       0.792974        21.6118        22.3794
        1.7432       0.786718        22.5965        22.5233
         1.779       0.780731        22.7568        22.6718
         1.815       0.775708        22.9219        22.8256
        1.8517       0.771973         23.093        22.9868
        1.8894       0.768427          23.27        23.1556
        1.9269       0.764219        23.4464         24.634
        1.9645       0.759306        23.6232        24.7508
         2.002       0.754322        23.7987        24.8711
          2.04       0.749789         23.974        24.9954
        2.0786       0.745635        24.1482        25.1229
        2.1182       0.741793        24.3214         25.251
        2.1585       0.738099        24.4926        25.3768
        2.1982       0.734225        24.6575        25.4985
        2.2377       0.729985        24.8192        25.6191
        2.2772       0.725703          24.98         25.741
        2.3176        0.72213        25.1442        25.8687
        2.3584       0.719075         26.093        26.0012
           2.4       0.716402        26.2477        26.1405
        2.4429       0.714144        26.4112        26.2889
        2.4871       0.711227        26.5821        26.4458
        2.5323       0.707569         26.758        26.6094
        2.5776        0.70324        26.9345        27.9411
        2.6229       0.698364        27.1113        28.0578
        2.6681       0.693402        27.2877        28.1833
        2.7134        0.68873        27.4631        28.3158
        2.7589       0.684582        27.6369        28.4486
        2.8043       0.681212        27.8076         28.578
          2.85       0.678789        27.9755        28.7051
        2.8964       0.676539        28.1431        28.8332
        2.9431       0.673903        28.3098        28.9627
        2.9898       0.671038        28.4752        29.0942
         3.037       0.668389        28.6406        29.2297
        3.0856       0.666158        29.5396        29.3713
        3.1354       0.663606        29.6915        29.5184
        3.1858       0.660673        29.8477        29.6697
        3.2353       0.657498        30.0036        29.8208
        3.2844       0.654034        30.1606        29.9734
        3.3335        0.65024          30.32        30.1286
        3.3826       0.646381        30.4823        30.2868
        3.4328       0.643033        30.6511        31.6779
        3.4838       0.639966        30.8249        31.7946
        3.5354       0.637394        31.0018        31.9163
        3.5869       0.635286         31.177        32.0396
         3.639       0.633214        31.3506        32.1642
        3.6919       0.631007         31.522         32.289
        3.7451       0.628415        31.6907        32.4144
        3.7986       0.625484        31.8579        32.5415
        3.8524       0.622611        32.0238        32.6711
        3.9063       0.620141        32.1871        32.8021
        3.9592       0.617865        32.9825        32.9319
         4.012       0.615635        33.1216        33.0632
        4.0651       0.613381         33.264        33.1979
        4.1199       0.611247        33.4144        33.3404
        4.1761        0.60892        33.5727        33.4908
        4.2328       0.606403        33.7368        33.6471
        4.2903       0.603963        33.9071        33.8099
        4.3487       0.601613        34.0832        35.1581
        4.4069       0.599356        34.2604        35.2767
        4.4648       0.597037         34.437        35.4017
        4.5228       0.594629         34.612        35.5271
        4.5819       0.592103        34.7866        35.6537
        4.6415       0.589423        34.9582        35.7795
        4.7006       0.586671        35.1257        35.9019
        4.7591       0.584149        35.2896        36.0231
        4.8183       0.581961        35.4538        36.1466
        4.8778       0.580194        35.6166        36.2712
        4.9381       0.578842         36.428        36.3984
        4.9996       0.577529         36.572        36.5301
        5.0621       0.575972        36.7214        36.6668
        5.1252       0.574096         36.876         36.809
        5.1883       0.571962        37.0347        36.9558
         5.252       0.569812        37.1986        37.1089
        5.3163       0.567672        37.3669        37.2678
        5.3797       0.565508         37.535        38.5522
        5.4426       0.563324        37.7032        38.6643
        5.5057       0.561113        37.8724        38.7841
        5.5693       0.558829         38.043        38.9098
